,tweets
410,cant write one singl tweet without blame modi
411,construct waterway day dream accord arrog bjp minist india infrastructur everyth creat modiar fool trust guy
412,tongu wag owaisi bash modi loafer lawyer dog wag tail love loyalti freedom express restrict legal action taken maintain decorum without fear merci peopl parti must ban
413,mr koppalatota namo walk namo park mathiker bangalor last saturday mani peopl join team show enthusiasm narendra modi prime minist
414,grace congress pay cost coalit congress bhai yeh modi met thopana
415,stop compar bigot mass murder modi someon like imran khan
416,modi urg note person spread voter awar via namo app
417,would modi serious
418,saw speech today modi could see rdxye cant see connect satellit mobil conect satelit
419,narendra modi decadeold decis fructifi japanes township gujarat firstpost
420,happen islam
421,ye alway modi funni guy
422,right modi keep watch rich corrupt famili follow
423,happen modi took mic karan thapar famou via
424,final day modi govern adani project jharkhand becom india first power sector sez decis save compani billion annual clean energi cess alon
425,modi urg note person spread voter awar time india via
426,modi real fake
427,true hve also reaffirm vote allegi time
428,true sir that modi sir allianc creat scam corrupt
429,one vote make differ anil kapoor answer modi elect clarion call extend support vote kar campaign via namo app
430,sushma swaraj recount narendra modi govt success last year say voter judg base commit firstpost
431,year modinom made airlin bankrupt that modi touch
432,raghuram rajan sent list high profil bank fraudster modi earli month offic thereaft remind modi fail act narendra modi campaign sheer hypocrisi
433,ratan tata lavish prais say deliv
434,vote ensur govt need deserv anupam kher respond modi vote kar appeal elect via namo app
435,thank much endors best qualiti modi
436,tag fast grow youtub care abt countri thatacc modi destroy democracyh blind fold politician look good bad bad good sarcasm
437,dnt turn pakistan india like situat million muslim got kill terrorist modi
438,sinc modi came power alway feel rahul gandhi alway mute mean cant hear
439,vapa lana hai desh agey badana hai vote modi vote develop right everi citizen
440,governor kalyan singh aligarh rd march worker want bjp emerg victori want modi becom import countri
441,go thru comedi speech shri rahul gandhii come conclus competitor modi rakhi sawant self obsess cannot compar kapil sharma far better comedian shri rahul gandhi
442,centr state govt work togeth make india tbfree narendra modi via namo app
443,modi govt hindu behav wildli
444,cant critic anyon enemi countri pull narendra modi name
445,sanit campaign run modi affect jai bhagwan goyal shahdara north eastern launch cleanli campaign sever place delhi
446,poor kejriw predict modi rule till etern get nightmar see modi sit diamond stud golden throne cri beg front awaken see beg front shiela dikshit
447,even print serious what elect modi entir opposit what agenda defeat modi noon say anyth nation
448,new post ad mumbai press offici site produc sandip ssingh turn singer narendra modi biopic
449,kindli elabor dharma friendli action modi like rte hunar haat let ganga tyagi die ayodhya delay etc
450,copi cat like pakistan miadad tri copi srikant revers shot got congress copi modi
451,ayyo show immatur made pappu modi run away varanasi
452,shud convinc mat bhaai vote modi convert mote voter time namo convinc opportunist say sir
453,see languag chowkidar tweet bhi sab bjp problem support modi amit sha dont use bad laugh cultur rss
454,dont live denial modi economi doldrum jobless growth make nation edgi agrarian crisi worsen nation secur question massiv intellig failur pulwama attack embrac chang
455,hahahait like happi modi leadershipur worri remain forev want defeatedhow dumb reason realli iit iti done well ppl definit keep forev
456,must read
457,ppl deserv bjp modi alway neg nonsens thing opposit shout master stroke everi idiot idea bjp
458,modi utmost import
459,modi villag electrif among world biggest success year say report
460,balakot govt releas death toll proof bhakt antin dare question armi ask proof saal chale pakistan ask proof imran khan said receiv modi pak day bhakt mute
461,demo black money caught modi inspit rbi warn bhakt atleast gut elect babu bajrangi gut admit stab womb pregnant muslim broad daylight bhakt mute
462,airstrik bhakt modi say rafal result would differ true wah modiji wah insult hero like abhinandan mean govt fail time bhakt antin bhaago chale pakistan
463,soon new elect rascal racist extremist murder behind bar modi select worst
464,modi locket chatterje lokshava
465,hoshiyar zardari bilaw baghawat sazish bilaw bhutto via rememb asif ali zardari shiit nonmuslim blood never patriot pakistan modi attack mayb invit zardar nawaz sharif
466,what bollywood congress promot mediocr forefront common peopl deserv someth better dont
467,never vote modi
468,want see countri becom superpow thn vote strong govt polit make countri superpow modi polit power take countri lot forward isliy india
469,congress need allianc counter modi relianc
470,modi govt met disinvest target one public sector compani bought anoth
471,varanasi loksabha seat modi aap give congress congress give give bsp bsp candid join bjp much fun
472,pledg first vote modi
473,look one say modi perfect cours better pappu prime minist even congress present oth intellig candid would understand even present tharoor murder case would understan
474,modi sir pleas help
475,modi never declar chowkidar pulwama theft dataexpert data fudginggdp unemploy includ design templat fake degre certif declar chowkidar bjp fund collect thru elector bond
476,your hindu nationalist punish modi
477,voter choos wise reject modi put vika revers gear disastr demonetis badli execut gst india need gst reform experienc best bet
478,congress rule enabl chaiwalanow chowkidar didnt allow hatredrss grow cud modi becom way mind shrunk mani thing congress made today use includ independ
479,call modi demon den must know pisach
480,due autom artifici intellig job decreas sure irrespect govt modi focu start bring job self employ
481,adani upadhyay later middl man introduc adani modi long back
482,defeat modi els prime minist ever arvind kejriw india news time india
483,anti tri use fact logic sway mass way base elector base sway hatr minor
484,parti expert loot exploit modi rememb ram manohar lohia target mahamilawat via namo app
485,good peopl india nationalist want modi forev elect wast money lead corrupt violenc opposit
486,modi chowkidar campaign nonstart
487,gujrat model failur modi lie
488,ego readi accept failur modi
489,kay bola hoga know modimodimodi tell one stori gang chor act visit market one chori pass iteam next first chor shout chor chor chor chor papu like
490,shatrughan sinha far bigger public figur siddiqui bigot support requir bjp rant rant rant much wont make differ modi cant defeat
491,modi cheerlead help sell tshit cap
492,modi prepar manifesto includ relief tax payer high way toll tax current situat tax payer like doubl taxat
493,salman khan good actor great jokeh relat act like modi relat usmuslim
494,hindutva terror enjoy tacit support modi govern overwhelm major antimuslim lynch occur sinc mani attack acquittedbrut aginst muslim famili india
495,subbu swami right think right order get work done chowkidar let modi blind bhakt put pakodawala chaiwala jamadaar wish exercis freedom appoint chowkidar sack
496,ppl gone crazi modi came
497,modi held singl press confer speak answer question fals speech public confer look forward prime minist
498,agenda defeat bjp could told develop agenda health care mani issu one defeat modi
499,drswami timesnow last year debat nearli million view modi timesnow interview million view
500,dear beti sapna bjp mla gave stupid remarkson see join chor cong parti much effortsdid much yourfamili one thing share youif contest elect modi bjp much bettersuggest like fathergood wish regard
501,modi darl busi must
502,trump let make america great let make china superpow modi let make everyon
503,hihihi balanc act blame modi even remot link
504,namaskar bharat mey bhi choukidar hun bharat maa centr state govt work togeth make india tbfree narendra modi
505,rahul gandhi inher transpar honest identifi everi indian lie hypocrisi falsehood modi rule thing past
506,toler whole india year toler poor toler religion support one even toler parti member toler nation question indian armi talk toler
507,modi boast digit wait deposit cash sbi mahim deposit th mar butch honour old format appli beech book may take week deposit ppf mar
508,pleas verifi tweet claim bjp leader forc nirav modi flee india
509,imagin much karnataka economi would flourish modi leadership
510,rememb bjp hindu parti move cautious turmoil major proport toppl develop agenda
511,fool inexperienc damag rule lessmodi hatao india bachao
512,see lutyen anti modi mindset
513,ratan tata optimist prais modi leadership new india
514,arrest nirav modi rule law
515,deram make new india make countri super power world politc congresssp aapjd agenda elect stop modi dont agend develop guy vote
516,former odisha dgp prakash mishra join bjp contest cuttack lok sabha seat prais modi respons pulwama strike also stress time parivartana odisha bjp odisha look strong
517,mother troubl one demonot use joke jitna bacha rakha tha sab modi jama kara diy today bank manag told elig got bless bless
518,countri like india youth peopl think rise growth modi spread idea sell pakoda becom chowkidar definitli distress mani peopl
519,concern modi come back take challeng deserv second term alongsid continu reform push india anoth level prosper develop
520,deserv punish hate speech
521,indian alreadi win modi complet tripl centuri chamcha contribut less one centuri
522,led global rise discont fan social media give impetu populist leader brilliant essay london school econom
523,modi return power becom foreverwhat sisodiaji overthrow cmship
524,wherev injustic peopl feel right blame modi farmer rais issu state govt fight elect state parti answer simpl caus modi aggress peopl india believ resolv issu
525,gaali polit return andhra pradesh chandrababu naidu call narendra modi quotdemonquot look demon corrupt gaddar neta
526,hahathi salmasabrina flavor twistsociopath salma say modi govt care rich ignoresrob poor sabrina vadri quot like mao red book quotat
527,almost crore spent ganga pollut modi watch
